sample_id,label,language_type,source_dataset,generator,split,duration,codec,sha256,group_id,path
cv_hi_00039,real,Hindi,CommonVoice_Hindi_26.0,,test,4.284,WAV/PCM_16,83addaba697bf95f9cbbf233697e53f9669b7eb2d1a85dc3a821ef938820535b,ca7942b553ae2894,data/processed/v1_16k/cv_hi_00039.wav
cv_hi_00040,real,Hindi,CommonVoice_Hindi_26.0,,train,2.916,WAV/PCM_16,bfb8c2a7b4ae33ccdfa1019aaa942029de7f801be993d467daac4bd06608071a,d04bdab1fa064a5a,data/processed/v1_16k/cv_hi_00040.wav
cv_hi_00041,real,Hindi,CommonVoice_Hindi_26.0,,train,3.384,WAV/PCM_16,904e1a4054bc777098a2ba404ef5058e3392ffb218e51c8107da01c11ea99239,d965566d77321800,data/processed/v1_16k/cv_hi_00041.wav
cv_hi_00042,real,Hindi,CommonVoice_Hindi_26.0,,train,5.22,WAV/PCM_16,db63aa0dc7623500fdac0c081d1af479ec1d9d7d1efc488756784d1b542a4d69,49201106b56c9636,data/processed/v1_16k/cv_hi_00042.wav
cv_hi_00043,real,Hindi,CommonVoice_Hindi_26.0,,test,2.52,WAV/PCM_16,a3b2881841e548282a09495f156316d78b57ed15c7ccc41c7d2cdb3c8c6b261f,d26e503988fdb0d4,data/processed/v1_16k/cv_hi_00043.wav
cv_hi_00044,real,Hindi,CommonVoice_Hindi_26.0,,test,3.816,WAV/PCM_16,397f4cbfaa12e9946da483167223f1e787657a42e3f05c6a7ebfd1db51ab5a8b,7c2dbc9e95b43169,data/processed/v1_16k/cv_hi_00044.wav
cv_hi_00045,real,Hindi,CommonVoice_Hindi_26.0,,train,7.272,WAV/PCM_16,a6edf107d69f7a59c5bb85856c7ee7577ae6a912d652852940995261dfea0067,d04bdab1fa064a5a,data/processed/v1_16k/cv_hi_00045.wav
cv_hi_00046,real,Hindi,CommonVoice_Hindi_26.0,,train,3.24,WAV/PCM_16,2b8a63539f750292d90c91059873379f8b674821312f18cb934848913355a950,f0d5a7c7defcaa3a,data/processed/v1_16k/cv_hi_00046.wav
cv_hi_00047,real,Hindi,CommonVoice_Hindi_26.0,,train,5.976,WAV/PCM_16,8dd99703a11e141737d9a03441548f99c008997e87f3ecd0bed89b1381054e50,8fd48d9370ccdacb,data/processed/v1_16k/cv_hi_00047.wav
cv_hi_00048,real,Hindi,CommonVoice_Hindi_26.0,,train,3.132,WAV/PCM_16,bcd7d6b767c1c0b7ffccc08092c85ce096c5ed450aa5fa27f05315aa2ce5dfd0,13ee38b5ad22a0c4,data/processed/v1_16k/cv_hi_00048.wav
cv_hi_00049,real,Hindi,CommonVoice_Hindi_26.0,,test,3.204,WAV/PCM_16,a0a8aaa94e1f261861a9c5813970b6a424b54ad7052cb9c547a537e01243b962,0c6d11511c1c1dae,data/processed/v1_16k/cv_hi_00049.wav
cv_hi_00050,real,Hindi,CommonVoice_Hindi_26.0,,train,2.952,WAV/PCM_16,59fa5f8dd496e76a2cadaceefb2934275d22908b296a800bc3cbc9b8e7a4f452,e58ce82913a4b9c0,data/processed/v1_16k/cv_hi_00050.wav
cv_hi_00051,real,Hindi,CommonVoice_Hindi_26.0,,test,5.94,WAV/PCM_16,0c0f8f600c0d3c8a5b276fc714a4bb7f4d43056ca1fcd60d9bb59cc1207f823b,eb74d54da73c82a7,data/processed/v1_16k/cv_hi_00051.wav
cv_hi_00052,real,Hindi,CommonVoice_Hindi_26.0,,train,7.884,WAV/PCM_16,e0d5f68411e26308c39226c4cecd652879751eda79bcc3a558921bc2fcc791ce,01f2023af250425d,data/processed/v1_16k/cv_hi_00052.wav
cv_hi_00053,real,Hindi,CommonVoice_Hindi_26.0,,train,2.34,WAV/PCM_16,23bfe561d511d30981b567cc354617f1b1adb000a376e086bb27b93672ffbb82,34c0eb446b5d2007,data/processed/v1_16k/cv_hi_00053.wav
cv_hi_00054,real,Hindi,CommonVoice_Hindi_26.0,,train,2.268,WAV/PCM_16,8a2ceea6f60e6e6275e45e05df85a7b8b5095cd4c451fc398d3ac277cce1cebf,3a008d3305916386,data/processed/v1_16k/cv_hi_00054.wav
cv_hi_00055,real,Hindi,CommonVoice_Hindi_26.0,,train,8.208,WAV/PCM_16,6a9bac8decb9168eb12cedeaa765d80d638d2a9315d344f9e610cbb665e20110,72de169ee11045a2,data/processed/v1_16k/cv_hi_00055.wav
cv_hi_00056,real,Hindi,CommonVoice_Hindi_26.0,,test,4.248,WAV/PCM_16,7a838274a7bfc6ba4e4835ada5fa29ef44c7030e0b585cb53d481f1c0009a3ed,5d7e1db3c0758ad7,data/processed/v1_16k/cv_hi_00056.wav
cv_hi_00057,real,Hindi,CommonVoice_Hindi_26.0,,train,3.168,WAV/PCM_16,a599404c4e6a1ff99ef7fbe1e6a543a84cd32ea4c17aefadf95f15229a9a8cc2,025c52fd7e895823,data/processed/v1_16k/cv_hi_00057.wav
cv_hi_00058,real,Hindi,CommonVoice_Hindi_26.0,,test,3.276,WAV/PCM_16,b7d75b86ba3ebd22a84ab80d776e699053b4edc2b0e224373cf5104e2570ea0b,ec179470f73990d8,data/processed/v1_16k/cv_hi_00058.wav
cv_hi_00059,real,Hindi,CommonVoice_Hindi_26.0,,train,5.868,WAV/PCM_16,916c86f2c43339bc02c16c8b33668d327b602618b55c2f8551d20c3c6a3d1541,8e12799b11e76a7e,data/processed/v1_16k/cv_hi_00059.wav
cv_hi_00060,real,Hindi,CommonVoice_Hindi_26.0,,train,3.42,WAV/PCM_16,65744e0899aea1b8b5aa3a41c75eaeafb0f70919b636af0cb9fe4f2b85897441,da6cc644e745c253,data/processed/v1_16k/cv_hi_00060.wav
cv_hi_00061,real,Hindi,CommonVoice_Hindi_26.0,,train,3.42,WAV/PCM_16,5e195fd472425bc28088eddcb5d76a02fbb7d41c2772360590365c649cdafa2d,cbafbf3451b99ff0,data/processed/v1_16k/cv_hi_00061.wav
cv_hi_00062,real,Hindi,CommonVoice_Hindi_26.0,,validation,6.948,WAV/PCM_16,84bf8229417c73c60bea5d129b9defae2c6dd72e149101fccfb0444ae8a7768a,a3d32067db332571,data/processed/v1_16k/cv_hi_00062.wav
cv_hi_00063,real,Hindi,CommonVoice_Hindi_26.0,,validation,2.856,WAV/PCM_16,6ce20f5e2dd833fe4f027d2ec254f10004c1de7dabba78385dac7ff01186fede,ee4d9f1866be690b,data/processed/v1_16k/cv_hi_00063.wav
cv_hi_00064,real,Hindi,CommonVoice_Hindi_26.0,,train,6.66,WAV/PCM_16,78c4bff44fe1d648979aa6d03d596df118b7b1b59077b12cd86106b1fecf46f3,bc7ee1730a11b2e2,data/processed/v1_16k/cv_hi_00064.wav
cv_hi_00065,real,Hindi,CommonVoice_Hindi_26.0,,validation,4.608,WAV/PCM_16,c6da103c94851136759d28a2002d13aa0285aa2dcdf507d64fb413c28799439c,d892d98e2d8874ea,data/processed/v1_16k/cv_hi_00065.wav
cv_hi_00066,real,Hindi,CommonVoice_Hindi_26.0,,train,2.88,WAV/PCM_16,cdbd7f3ae2a4cf038b62a6917d3631c4e1b99e62257b727fb249c45956710d0b,05bbf8e8ecf17384,data/processed/v1_16k/cv_hi_00066.wav
cv_hi_00067,real,Hindi,CommonVoice_Hindi_26.0,,train,7.056,WAV/PCM_16,3c471d54b8ce6ce44dcd7e1d68c82aeccebaf9f9aa955cf6427a4846117a5815,b2b67d0468b9a1f7,data/processed/v1_16k/cv_hi_00067.wav
cv_hi_00068,real,Hindi,CommonVoice_Hindi_26.0,,validation,6.408,WAV/PCM_16,6d30e63c4cc2351d7d0dcb7026662ad9bcbbfb2b0a471044748791a8b88db066,aa81126e9b021204,data/processed/v1_16k/cv_hi_00068.wav
cv_hi_00069,real,Hindi,CommonVoice_Hindi_26.0,,test,3.6,WAV/PCM_16,b7033454b968e9083718479d4cb1856199f4fb2e7f894dd5a161909eb770aedf,9b387d96a1191003,data/processed/v1_16k/cv_hi_00069.wav
cv_hi_00070,real,Hindi,CommonVoice_Hindi_26.0,,test,9.396,WAV/PCM_16,c8ebfb17f471aab3e69f68d365fa8036f1628fa25238c72e57281e8afd9e7afb,ddbd9d7f7fa5c14c,data/processed/v1_16k/cv_hi_00070.wav
cv_hi_00071,real,Hindi,CommonVoice_Hindi_26.0,,train,5.256,WAV/PCM_16,bfbfd7a71bb3765bc9aefe9fb0d3fab147b77b433439d51b03d7e5b7ac72a371,d305e3a5f87a3227,data/processed/v1_16k/cv_hi_00071.wav
cv_hi_00072,real,Hindi,CommonVoice_Hindi_26.0,,test,2.844,WAV/PCM_16,a049a5b14df03751cdccf49909587c529eb2c80db2c28414f312d9b253d68eb6,eb74d54da73c82a7,data/processed/v1_16k/cv_hi_00072.wav
cv_hi_00073,real,Hindi,CommonVoice_Hindi_26.0,,train,3.888,WAV/PCM_16,6a0f427c436ad501471e661535426ce7b6e27d1fb0abd0aef4bc3807d61a9c78,4e6d2cf46ee70394,data/processed/v1_16k/cv_hi_00073.wav
cv_hi_00074,real,Hindi,CommonVoice_Hindi_26.0,,train,2.88,WAV/PCM_16,3e891d5a66ad309834f00f8d9ebffd102e7b548ce311c50e40abd3ff9537f51d,2e409cc095588953,data/processed/v1_16k/cv_hi_00074.wav
cv_hi_00075,real,Hindi,CommonVoice_Hindi_26.0,,validation,3.576,WAV/PCM_16,390c85e83c934df93fa7f0ea50e6165ba9f4e5eb416d41c5c16c578069cb0a58,16e4a9df2aacaf24,data/processed/v1_16k/cv_hi_00075.wav
cv_hi_00076,real,Hindi,CommonVoice_Hindi_26.0,,train,9.396,WAV/PCM_16,fda494d7d034afc69055e774d2b20f8dba90d3bdee9e5ae55a0e93dd542854d5,a7fe9ab17a00cb4f,data/processed/v1_16k/cv_hi_00076.wav
cv_hi_00077,real,Hindi,CommonVoice_Hindi_26.0,,test,4.968,WAV/PCM_16,4cb8718687150b91902c206cbc90662dbb226cdca207e2cc834b49c6c3874882,ed385c5b04af05d9,data/processed/v1_16k/cv_hi_00077.wav
cv_hi_00078,real,Hindi,CommonVoice_Hindi_26.0,,test,3.276,WAV/PCM_16,78bec342df4e7c6e2b10e59a7220690ad6252675ea396c2386a41bc45d26688b,b31e868eb625c7ea,data/processed/v1_16k/cv_hi_00078.wav
cv_hi_00079,real,Hindi,CommonVoice_Hindi_26.0,,train,4.716,WAV/PCM_16,cabd6fe8eec78b93860678837a74cee4862c69047d8c9e0925a78a506f62d31e,064acf67630c7f19,data/processed/v1_16k/cv_hi_00079.wav
cv_hi_00080,real,Hindi,CommonVoice_Hindi_26.0,,train,5.58,WAV/PCM_16,2135e7abaf9ec9f524aba68b415d9eed6bece051056767f816b0f642c5c1812c,d305e3a5f87a3227,data/processed/v1_16k/cv_hi_00080.wav
cv_hi_00081,real,Hindi,CommonVoice_Hindi_26.0,,train,7.236,WAV/PCM_16,6b270d854116c06837a6b1c1c8e9a2c4a52c70faf8c082ee20e92809d9845996,971dbd813e5a4fa0,data/processed/v1_16k/cv_hi_00081.wav
cv_hi_00082,real,Hindi,CommonVoice_Hindi_26.0,,train,4.536,WAV/PCM_16,1e1f8e8ccc2fda356d8b6e903e96976cb1f41b16245641cc054d901d515f5a3b,4c1fc40afb44af58,data/processed/v1_16k/cv_hi_00082.wav
cv_hi_00083,real,Hindi,CommonVoice_Hindi_26.0,,validation,4.68,WAV/PCM_16,a266912d51e33387a648cfc3ada68ecf4f568bf5bb0d45131f21d7ec92f27db7,1d7f1ea3bb9290a7,data/processed/v1_16k/cv_hi_00083.wav
cv_hi_00084,real,Hindi,CommonVoice_Hindi_26.0,,train,7.128,WAV/PCM_16,db2037e272ed508f1b11fce7e0e077fe683a7196cd58d8cf109f8b76561e17f4,9b05272c4220cb3b,data/processed/v1_16k/cv_hi_00084.wav
cv_hi_00085,real,Hindi,CommonVoice_Hindi_26.0,,train,3.168,WAV/PCM_16,5ba7feca3e3c93bf22367202b2d23a924d50cae5c78630c4a148594d43fbfc65,4c1fc40afb44af58,data/processed/v1_16k/cv_hi_00085.wav
cv_hi_00086,real,Hindi,CommonVoice_Hindi_26.0,,test,2.736,WAV/PCM_16,9705b7c6e68cb6b758cb034c82826d9011ff8d5d981904dec9cecbe0e55822d7,5cd563f360a78df4,data/processed/v1_16k/cv_hi_00086.wav
cv_hi_00087,real,Hindi,CommonVoice_Hindi_26.0,,train,6.192,WAV/PCM_16,5b0472194c3d6b1c4b8fc4b7f5504df1319240ac9a378895f8e07e75e332422f,e82fc8de439ce1fe,data/processed/v1_16k/cv_hi_00087.wav
cv_hi_00088,real,Hindi,CommonVoice_Hindi_26.0,,train,6.336,WAV/PCM_16,c22afb00153fce45670286a4afaae5072c931d9d765f167333a66cc057a430df,03d71a9db9b2128c,data/processed/v1_16k/cv_hi_00088.wav
cv_hi_00089,real,Hindi,CommonVoice_Hindi_26.0,,test,3.408,WAV/PCM_16,9791d2846902faa5f59d755abdb617c421c5777b8bd2d11070a8d3bf84643832,4790116d688939f0,data/processed/v1_16k/cv_hi_00089.wav
cv_hi_00090,real,Hindi,CommonVoice_Hindi_26.0,,train,7.704,WAV/PCM_16,bdccbe8e9edbc4688919325cfb7770de9bbdea990e08ebde1a73123db37d8b29,cd17bedf812fd6a7,data/processed/v1_16k/cv_hi_00090.wav
cv_hi_00091,real,Hindi,CommonVoice_Hindi_26.0,,train,2.808,WAV/PCM_16,8190ef883c5c6e986880e8421b7612371736106b33c66ee60f49af649570b5c2,56f520b83fb98922,data/processed/v1_16k/cv_hi_00091.wav
cv_hi_00092,real,Hindi,CommonVoice_Hindi_26.0,,train,7.488,WAV/PCM_16,2c1e6e04b0f693d947e81750519471df7c3ff21616f0e2571393f19016e9e6de,a39c54ba15f4c018,data/processed/v1_16k/cv_hi_00092.wav
cv_hi_00093,real,Hindi,CommonVoice_Hindi_26.0,,train,6.3,WAV/PCM_16,0e78a90e8da7e49b289c2f23622e2224dbd06718aa6bf80ca0068702cac2ec9b,fc75ff903de8567d,data/processed/v1_16k/cv_hi_00093.wav
cv_hi_00094,real,Hindi,CommonVoice_Hindi_26.0,,train,6.408,WAV/PCM_16,8dfc71b52b4b79e0cbb121bd4a7b448d1c9594c1a6f208154f8c3bcd602674e7,031ec2e6befbc243,data/processed/v1_16k/cv_hi_00094.wav
cv_hi_00095,real,Hindi,CommonVoice_Hindi_26.0,,train,3.6,WAV/PCM_16,970f035077dbd34eaa7a29b52ac3c5b79b09952876a6ed67dc45c511197b4781,3faa5a08d585a709,data/processed/v1_16k/cv_hi_00095.wav
cv_hi_00096,real,Hindi,CommonVoice_Hindi_26.0,,validation,3.168,WAV/PCM_16,c6d6676d508c4d8c392bb8fc86aec45307234cc830ab983ae84aac4d24a0efa7,d516dce6726a2022,data/processed/v1_16k/cv_hi_00096.wav
cv_hi_00097,real,Hindi,CommonVoice_Hindi_26.0,,validation,5.328,WAV/PCM_16,35ed3a15af070b1149ececb52de97dff27667f892e0664e89c488fa19ada2180,cb8f16ddbe2351ae,data/processed/v1_16k/cv_hi_00097.wav
cv_hi_00098,real,Hindi,CommonVoice_Hindi_26.0,,train,2.556,WAV/PCM_16,47f4c8e47ed3681abda71e3fa62381493261b6ae8021c8d32aae580b16d04b6d,990edda139a3cf08,data/processed/v1_16k/cv_hi_00098.wav
cv_hi_00099,real,Hindi,CommonVoice_Hindi_26.0,,test,2.988,WAV/PCM_16,86bf8483fc577b8fcbd30fea59e9a648bf6f663cbf6496da4be5dd1845252f6f,ca7942b553ae2894,data/processed/v1_16k/cv_hi_00099.wav
cv_hi_00100,real,Hindi,CommonVoice_Hindi_26.0,,train,6.048,WAV/PCM_16,169a15f8c4b6e6338cbe836d7da0892784d1fecf799d005a73f5751879686b7c,58d646810ccc9fe1,data/processed/v1_16k/cv_hi_00100.wav
cv_hi_00101,real,Hindi,CommonVoice_Hindi_26.0,,train,3.168,WAV/PCM_16,631744c8386101ebc16719d8f41cba417f8b11ad3c6fa1e2b283b58023427453,df446c9187ba414d,data/processed/v1_16k/cv_hi_00101.wav
cv_hi_00102,real,Hindi,CommonVoice_Hindi_26.0,,test,5.796,WAV/PCM_16,2e1f14d27c280212061776c89bad9bee01d7cf36064aa15d46e2d515148a2fa4,ed385c5b04af05d9,data/processed/v1_16k/cv_hi_00102.wav
cv_hi_00103,real,Hindi,CommonVoice_Hindi_26.0,,train,7.596,WAV/PCM_16,ef90c417ae5f209c4f32267ac000747d878d748b771f583cb2c6b3db3744053a,f3867c69efbfa3be,data/processed/v1_16k/cv_hi_00103.wav
cv_hi_00104,real,Hindi,CommonVoice_Hindi_26.0,,train,2.256,WAV/PCM_16,6a1f404402d4eb1199b3d9304b12b7033edb29384efe24ca7eca39293d4b05b3,d965566d77321800,data/processed/v1_16k/cv_hi_00104.wav
cv_hi_00105,real,Hindi,CommonVoice_Hindi_26.0,,train,5.076,WAV/PCM_16,8d456a04b8d2fe6c4b995ac1d23b79ee7faeea49e4d935fc903b4a293d3a591c,a0f323962ee08fcc,data/processed/v1_16k/cv_hi_00105.wav
cv_hi_00106,real,Hindi,CommonVoice_Hindi_26.0,,train,9.72,WAV/PCM_16,5685583e17df8e16caeedddff29eb4d0905d7bce8dc9efc0a86714671930610c,42d02c8ef165ff3e,data/processed/v1_16k/cv_hi_00106.wav
cv_hi_00107,real,Hindi,CommonVoice_Hindi_26.0,,train,6.84,WAV/PCM_16,99cecafc9a221b98dd210b359074f79f00fa03d4da78dba113e109dbc483d8bb,81282aecb9c3fc56,data/processed/v1_16k/cv_hi_00107.wav
cv_hi_00108,real,Hindi,CommonVoice_Hindi_26.0,,train,6.48,WAV/PCM_16,04f8fa1c40e466e204baf8b425c8662dd4f50facf3a43aca71fa6e2a0287d91b,862ccba56a2b9552,data/processed/v1_16k/cv_hi_00108.wav
