sample_id,label,language_type,source_dataset,generator,split,spoof_type,duration,codec,sha256,group_id,path
ss_hi_fake_00020,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,8.8004,flac,13f7486b0e415da45814b43bc08ac8b098fe176bd1b14934e3d3269a719422e0,5dbff89929fa3dd8,data/evaluation/seaspoof_hi/ss_hi_fake_00020.flac
ss_hi_fake_00021,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,3.0542,flac,81982c2e6d721089f8b683d09609d20c0f87f14549887a4892e4d51398994311,8a1283c9b8d8afee,data/evaluation/seaspoof_hi/ss_hi_fake_00021.flac
ss_hi_fake_00022,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,6.912,flac,d2518a72b8642bd961ff2c0b5c88790eac4907ce7847b91d6b855279a044f3e3,12f81f68ba253bca,data/evaluation/seaspoof_hi/ss_hi_fake_00022.flac
ss_hi_fake_00023,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,5.4727,flac,80f14c0c555ebe98ba256c5aece716dd9fa660a6ceb156105d301535c506ba90,9c855f10ef72afc6,data/evaluation/seaspoof_hi/ss_hi_fake_00023.flac
ss_hi_fake_00024,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,1.3322,flac,c4ee733bc4006b9f1dc26701839204b3c19042fc3243deaaa6497eed69de97c3,7ab79025fd498c77,data/evaluation/seaspoof_hi/ss_hi_fake_00024.flac
ss_hi_fake_00025,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,92d6024388d665720e0ebba1291b6b21e0abe4d8f6c0e5a81b76e6e0f7322fd8,2fa504b2060f04a9,data/evaluation/seaspoof_hi/ss_hi_fake_00025.flac
ss_hi_fake_00026,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,90c31aee50283caa1da26a6c8f5c9e7bfbfc137880bd785b0e6fd20eb7d76e34,c1bc7e6157bff19f,data/evaluation/seaspoof_hi/ss_hi_fake_00026.flac
ss_hi_fake_00027,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,3.648,flac,37afb1177bcb69ae7f826daacff5d51caa7a14f54401ce36981d485f1f1dbb08,4683a428b2944a79,data/evaluation/seaspoof_hi/ss_hi_fake_00027.flac
ss_hi_fake_00028,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,3.384,flac,412cc62501090985eb3a63013607a49334565f0ec354943e5ee8d0f06b622e85,d1244b71b742b708,data/evaluation/seaspoof_hi/ss_hi_fake_00028.flac
ss_hi_fake_00029,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,1.9389,flac,74105d2546ad1e6186b1c4e8241b3d754cecf67cb66397f6fdc2299a28c7d3bf,2f87d18b61ff3dac,data/evaluation/seaspoof_hi/ss_hi_fake_00029.flac
ss_hi_fake_00030,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,2.5201,flac,45695b606fbe63f04af3225f7559070c84e6aaf6d17b01bb8ed097f0adab378c,8e82275be16e30dc,data/evaluation/seaspoof_hi/ss_hi_fake_00030.flac
ss_hi_fake_00031,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,2.624,flac,7d7a2cc3a988284e55c98475c4b0e66ff00ddb0eebcf6811b386d23598e42ce4,34a3463affbc6a2b,data/evaluation/seaspoof_hi/ss_hi_fake_00031.flac
ss_hi_fake_00032,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,4.1287,flac,722fc61b4628e1f612d6d5331a9a622a0f03233808618d8d9302fb45ac3c6da9,e1d8d12f9c37e862,data/evaluation/seaspoof_hi/ss_hi_fake_00032.flac
ss_hi_fake_00033,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,3.0,flac,464f9951a76e2f961e023893f2960f1718e9531b41cc07c1d6a4e8c939b8301d,9a656e9a72838329,data/evaluation/seaspoof_hi/ss_hi_fake_00033.flac
ss_hi_fake_00034,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,6.1649,flac,8f759cd27310e12704c9f1fecb6149bf3fbe432c964cd87b504d97c7dabcf77a,87cb1d9c50dfe38f,data/evaluation/seaspoof_hi/ss_hi_fake_00034.flac
ss_hi_fake_00035,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,6.0612,flac,0f40c58faf659a6224dcfc10c25457d9414421ddcfed651570ca0b3532e7dd1c,6be77db09b977e98,data/evaluation/seaspoof_hi/ss_hi_fake_00035.flac
ss_hi_fake_00036,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,7.264,flac,5db87c592c8e814f5495fec857994163ad5810d4f909015cc10bf1fcee12db58,8e97f62424a0024a,data/evaluation/seaspoof_hi/ss_hi_fake_00036.flac
ss_hi_fake_00037,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,5.1954,flac,c766880c4f8ccb35f4ad9ca809421fa4ec75798f996d57d6d0d70a296a11a47e,fb2bc784f89af170,data/evaluation/seaspoof_hi/ss_hi_fake_00037.flac
ss_hi_fake_00038,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,5.6947,flac,069acbf9e5342896121ddb182f8c8fef1bc0a8220b7988cfa97697f40ce18892,06d6ef762fe2673b,data/evaluation/seaspoof_hi/ss_hi_fake_00038.flac
ss_hi_fake_00039,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,7075e116a381b742f0d5d97ad37f35bfe3123677ecd314f656ee00887fa62fe9,1ee2f8d1f27c8ea0,data/evaluation/seaspoof_hi/ss_hi_fake_00039.flac
ss_hi_fake_00040,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,23bfa14c6f42646269dfc993b838903fe7423335962ad58bb0e63380bc819b3b,7e2838d20c720982,data/evaluation/seaspoof_hi/ss_hi_fake_00040.flac
ss_hi_fake_00041,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,3.264,flac,306fbcde77d2962e1d7c0754e73a9684cfc11cb4f34e8b33e007e76abae91132,c2ad6eda9cf43e0e,data/evaluation/seaspoof_hi/ss_hi_fake_00041.flac
ss_hi_fake_00042,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,3.744,flac,64bf693a599b8b369f7fde6daad58b08b311e5d7b7f71d07981808c9d60e89d2,796b4b3b58eab8b3,data/evaluation/seaspoof_hi/ss_hi_fake_00042.flac
ss_hi_fake_00043,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,2.1247,flac,c194d419a292adc7a5507af9dcebc58bee84cac942d6974f0184434f9453f8eb,573743cf721b0b54,data/evaluation/seaspoof_hi/ss_hi_fake_00043.flac
ss_hi_fake_00044,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,3.774,flac,c78fa3ab1bc3bb624f08c689af04ea702a98040793b5f133c674129478966c65,0990c0c45385b495,data/evaluation/seaspoof_hi/ss_hi_fake_00044.flac
ss_hi_fake_00045,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,4.144,flac,220bd2c01fb84ae4e3da93777df4fed91d959a5044b1200c65380b559caffe0a,3033a32891b6eb23,data/evaluation/seaspoof_hi/ss_hi_fake_00045.flac
ss_hi_fake_00046,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,4.9607,flac,0b51a93166e5f1818eee437b3130920be2835629031b7ffc0345efd39cddc663,40b0f8739443d693,data/evaluation/seaspoof_hi/ss_hi_fake_00046.flac
ss_hi_fake_00047,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,8.4,flac,e4e6e95d97ef887fe63583b8389a11a36dd52422f458277af59a0621afcacb4a,baaa1ad3c0e68270,data/evaluation/seaspoof_hi/ss_hi_fake_00047.flac
ss_hi_fake_00048,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,9.3112,flac,4dace066c8b7e2e20ee7fadbd5a01ed4a91caeb3a7e2c8f13c2c784868dc94e7,a8e7094833c14be4,data/evaluation/seaspoof_hi/ss_hi_fake_00048.flac
ss_hi_fake_00049,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,9.7996,flac,21cb7554c9c58e0e05e90b81dc8a1cf6a76efc215416321030804e7d676952ab,ab09a4ad80b4c02e,data/evaluation/seaspoof_hi/ss_hi_fake_00049.flac
ss_hi_fake_00050,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,5.232,flac,984b2e705ea21787ecfcde0d5322b1ff69b32a5ffdc53094ebcc2f90494b7b30,8c5294307ee3636d,data/evaluation/seaspoof_hi/ss_hi_fake_00050.flac
ss_hi_fake_00051,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,5.1954,flac,79c45bf414e077871d26838939a007eac82e578aaa41673666534e02b945442d,110fee8f860eb946,data/evaluation/seaspoof_hi/ss_hi_fake_00051.flac
ss_hi_fake_00052,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,3.1608,flac,4cd2ef71562223cc94d5723715e70ac1b7dda3a2c91e3cb5e6e9c93c03065fc4,06a8fbe821ac1bec,data/evaluation/seaspoof_hi/ss_hi_fake_00052.flac
ss_hi_fake_00053,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,a4e776d6c52e5d2fb71719439c23cde63eaf912293388316c26520b8f8a5a00a,f5aff1b77b7ec951,data/evaluation/seaspoof_hi/ss_hi_fake_00053.flac
ss_hi_fake_00054,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,adafe4679fc6585c1271c733010d88ffbd821f359b158fb651b413114d1003f9,9bbcfdd54f2527ec,data/evaluation/seaspoof_hi/ss_hi_fake_00054.flac
ss_hi_fake_00055,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,4.368,flac,d0a9b6fa8349e7fc9603ffde92b7a05539859dfb675a4bab9e42c0ca81ce2ce8,5f1184906ffcf250,data/evaluation/seaspoof_hi/ss_hi_fake_00055.flac
ss_hi_fake_00056,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,5.712,flac,78af66a850772a6f39b407bbb861311c223842ddcca30c90aee51a7d3d0ec3b1,e4cbc487faf6b1cd,data/evaluation/seaspoof_hi/ss_hi_fake_00056.flac
ss_hi_fake_00057,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,2.4381,flac,6d36d8f8cad821ddfad5869be6547a925176b410cb214ebeccbc05f4d7f29696,77445420517db862,data/evaluation/seaspoof_hi/ss_hi_fake_00057.flac
ss_hi_fake_00058,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,3.3676,flac,2e69b2bfc878ddc4d21cb0b6af1f7ef88ab970185aa3bfe623ce4210a050a15f,8dac91435176736f,data/evaluation/seaspoof_hi/ss_hi_fake_00058.flac
ss_hi_fake_00059,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,4.368,flac,c172e31395bb05bd2cb152e40065f1b6df37dd16a54ffd81848e312b4aef386e,fd2121bdd22f3478,data/evaluation/seaspoof_hi/ss_hi_fake_00059.flac
ss_hi_fake_00060,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,5.4727,flac,12588b653e77b3164dab85cc9a8a3dd1a59338dbaf7b9d8c009b6d8f440ccff1,31bc0b9064557cc4,data/evaluation/seaspoof_hi/ss_hi_fake_00060.flac
ss_hi_fake_00061,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,8.904,flac,ed497a75edfeb04ad1118848e55e13b76871032b1945aa771cbe33331a472036,e2b2a40e228f30a7,data/evaluation/seaspoof_hi/ss_hi_fake_00061.flac
ss_hi_fake_00062,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,4.9691,flac,4ff96bfed10734a6f0c7636d1c38593baac34fd6bd22f8e2b59d40819e89aaf7,6bf4aa8cf2023c88,data/evaluation/seaspoof_hi/ss_hi_fake_00062.flac
ss_hi_fake_00063,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,4.0526,flac,90089a2c183d38544d0bc58135776bd4a1fa7e36a50cae991c7a9fa845c1554a,ee050052f8fd50fd,data/evaluation/seaspoof_hi/ss_hi_fake_00063.flac
ss_hi_fake_00064,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,6.48,flac,d3a8d4e7405acf66544fde7bd033d12e7675f7798cf91ddd4126a873813749e9,f94b12ca9df22dcd,data/evaluation/seaspoof_hi/ss_hi_fake_00064.flac
ss_hi_fake_00065,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,4.5874,flac,30b497c4021ce67118623e93aa39dfe06ada4f62b075b2c68e5b101f987dac91,fb3ab4f1e9e758f4,data/evaluation/seaspoof_hi/ss_hi_fake_00065.flac
ss_hi_fake_00066,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,3.84,flac,83c482a932d06517c160533917c5c656f15d876d268b83e254188b90fe4bf6ce,9088c539e474335e,data/evaluation/seaspoof_hi/ss_hi_fake_00066.flac
ss_hi_fake_00067,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,402400fbd674beec69876b2a0022715f2ea931f2f6ba9d788db80af09e8464f5,cbd94c47552c07f6,data/evaluation/seaspoof_hi/ss_hi_fake_00067.flac
ss_hi_fake_00068,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,1d48a385c11519d1e747823c42ad5eab01e2133f39fc90218a832ec4c1cb1307,f839ca57991dc173,data/evaluation/seaspoof_hi/ss_hi_fake_00068.flac
ss_hi_fake_00069,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,5.904,flac,f6177561459aa08e07dbd7c92c467806ed950b462fec791dbd8d385a145877dd,e0479fa82cfce0f3,data/evaluation/seaspoof_hi/ss_hi_fake_00069.flac
ss_hi_fake_00070,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,2.664,flac,6fb1c3ca0ba86db00cb3a2b083fcbcf71c0a46c91de57f2793552a4b3e6549a9,816bc54953b0ffff,data/evaluation/seaspoof_hi/ss_hi_fake_00070.flac
ss_hi_fake_00071,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,3.6572,flac,c61af16158fd7de9987864c58af7a4547b67ed6074f5ffe413c899e1973b6800,aa9a318bb5c3a97e,data/evaluation/seaspoof_hi/ss_hi_fake_00071.flac
ss_hi_fake_00072,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,1.6842,flac,b53c5393853f20b5d37576d61de95dad1250f3126ca7442cfbc77859326c4aad,15212685b1b26c95,data/evaluation/seaspoof_hi/ss_hi_fake_00072.flac
ss_hi_fake_00073,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,4.496,flac,082fcd5c74276fe5e09e13e3fb6acbdd076792c95ce5e222b717d2a875894b6a,514d1c07d314886f,data/evaluation/seaspoof_hi/ss_hi_fake_00073.flac
ss_hi_fake_00074,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,3.7554,flac,248396a1c20b157080c101a9dfe107266e8d0f3576affa85821e491423393d61,d95bc339f90a2a05,data/evaluation/seaspoof_hi/ss_hi_fake_00074.flac
ss_hi_fake_00075,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,7.56,flac,6be3630fec082815a262857c9033a6f49656a6b4331453dec238d6632d70448c,a34a9e17e0a88eb5,data/evaluation/seaspoof_hi/ss_hi_fake_00075.flac
ss_hi_fake_00076,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,13.2122,flac,a85111d2a90c071b736e8c877562375fe8c99dbeaa287a8ba1f463d17a19ce52,46ede8910b7fb09d,data/evaluation/seaspoof_hi/ss_hi_fake_00076.flac
ss_hi_fake_00077,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,11.2973,flac,9c9f990ea35a34a2941449f2ae7a2f2663c69b90358a9bec04cef86cf57028ff,cc6130e386a45357,data/evaluation/seaspoof_hi/ss_hi_fake_00077.flac
ss_hi_fake_00078,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,7.44,flac,cb775fd2cb83b6bb6adad048adf8d4c6b95440c3256f8a3fa81486741678cef9,a4c4d85a8ff083b0,data/evaluation/seaspoof_hi/ss_hi_fake_00078.flac
ss_hi_fake_00079,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,6.5394,flac,60d7303c8c9c81fd51c75c12da8dd7c53609a7d196ae9338cc3ea5348786c1f3,7b7f22490d3f4761,data/evaluation/seaspoof_hi/ss_hi_fake_00079.flac
ss_hi_fake_00080,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,1.7502,flac,88f83dc34df9374ee43b572b5232ef4aeb2cce47be5bb6aae9cfecbd53441c1b,27a422c808c53f04,data/evaluation/seaspoof_hi/ss_hi_fake_00080.flac
ss_hi_fake_00081,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,31ae673a92fc95d2a4e87445d0ba540d268e91ac246bd9c96099700b5ba8baee,b00ca97fdfdd1f1e,data/evaluation/seaspoof_hi/ss_hi_fake_00081.flac
ss_hi_fake_00082,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,0898311a161f38d8c723b5141d14256b2d8e5701c2ad8239abcd60b3e784090c,f9bef34c106ec328,data/evaluation/seaspoof_hi/ss_hi_fake_00082.flac
ss_hi_fake_00083,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,4.968,flac,cb1fdfa286d1650892170c9deb3adb2ffe0f724589577c5e89dd55e020415e45,aa92254ac31a6799,data/evaluation/seaspoof_hi/ss_hi_fake_00083.flac
ss_hi_fake_00084,fake,Hindi,SEA-Spoof,hindi_common_edge_tts,evaluation,offline,6.504,flac,37564ac6425655157bc7b2f6a780757c71e1fe6e78e465d8baa0181584fdf6e8,e7270296d58eae8b,data/evaluation/seaspoof_hi/ss_hi_fake_00084.flac
ss_hi_fake_00085,fake,Hindi,SEA-Spoof,hindi_common_fastspeech,evaluation,offline,3.007,flac,34668c2c2172a951c27a4914061c502e1aa7ef956482ed000fb68aad411cbd35,1c0f724c18a02cc8,data/evaluation/seaspoof_hi/ss_hi_fake_00085.flac
ss_hi_fake_00086,fake,Hindi,SEA-Spoof,hindi_common_indic-tts,evaluation,offline,2.3228,flac,50923903462d90d82db4e8b1c0835a156b7c395661df071b0fe7c9672197e01e,17e7317d393929dd,data/evaluation/seaspoof_hi/ss_hi_fake_00086.flac
ss_hi_fake_00087,fake,Hindi,SEA-Spoof,hindi_common_vits_mms,evaluation,offline,3.536,flac,331122484b78b75f4b20d1307fe17e21f3428e30926516d77e933e8a2068aaf9,5e3290ab1531d5bb,data/evaluation/seaspoof_hi/ss_hi_fake_00087.flac
ss_hi_fake_00088,fake,Hindi,SEA-Spoof,hindi_common_xttsv2,evaluation,offline,5.8887,flac,ef007558b7dd3353f5c02a2c7873f7eed8e387494f3cdde5dd2a5ac4ff97063a,2ff69dc2049da507,data/evaluation/seaspoof_hi/ss_hi_fake_00088.flac
ss_hi_fake_00089,fake,Hindi,SEA-Spoof,hindi_indic_edge_tts,evaluation,offline,8.4,flac,0c8bd8c6693f92c07c36eb2e48349831c119e4cd60223ae69c7608f9604c07c9,901f8ad137fea4f0,data/evaluation/seaspoof_hi/ss_hi_fake_00089.flac
ss_hi_fake_00090,fake,Hindi,SEA-Spoof,hindi_indic_fastspeech,evaluation,offline,6.8383,flac,ac2394cdbf7591c564fbbbe5ce2809e68e5459bdd6f3dc50641bdc72f44dc0a8,8a619a4cb0313068,data/evaluation/seaspoof_hi/ss_hi_fake_00090.flac
ss_hi_fake_00091,fake,Hindi,SEA-Spoof,hindi_indic_indic-tts,evaluation,offline,6.9435,flac,c7c847a2c38da622ab18ffb82d51a072582bfa64ef5ea0dce42cd3483bb15be8,187eed241a305b4a,data/evaluation/seaspoof_hi/ss_hi_fake_00091.flac
ss_hi_fake_00092,fake,Hindi,SEA-Spoof,hindi_indic_tts_vits-mms,evaluation,offline,4.368,flac,0d766730908c03e72d78797952b794ee7d710b7565c74cf2fa9172593e0dbb52,dcb92e9e2e47c7ff,data/evaluation/seaspoof_hi/ss_hi_fake_00092.flac
ss_hi_fake_00093,fake,Hindi,SEA-Spoof,hindi_indic_tts_xtts-v2,evaluation,offline,5.3767,flac,0e5db6460c9ea929e46f7e065ea100faf9afe810b19d14ccc71d41b30cf87b67,fcffa12abc7b9396,data/evaluation/seaspoof_hi/ss_hi_fake_00093.flac
ss_hi_fake_00094,fake,Hindi,SEA-Spoof,elevenlabs,evaluation,online,1.9069,flac,b68224fbfd5bbbae92d9e079db28166a7e67c3d1bd8a8da594f80246ff8d2535,290851e2a3bd6c6b,data/evaluation/seaspoof_hi/ss_hi_fake_00094.flac
ss_hi_fake_00095,fake,Hindi,SEA-Spoof,heygen,evaluation,online,4.0,flac,04048856648d4da4ebaf4f5e3681f73f0aa8a1a684560a2d943445ea84a491d5,08f01d21cc378fdc,data/evaluation/seaspoof_hi/ss_hi_fake_00095.flac
ss_hi_fake_00096,fake,Hindi,SEA-Spoof,minimax,evaluation,online,4.0,flac,6aa93a36e04c811a6540f38b8b51d872fef70483c745f7512ba2495b05de6c85,3ff6f2ed00ae5105,data/evaluation/seaspoof_hi/ss_hi_fake_00096.flac
ss_hi_fake_00097,fake,Hindi,SEA-Spoof,chatgpt_tts_flac,evaluation,online,5.4,flac,f324e83231ad3cb9df6fa3e516111a5435aff42ecbb0c9739986c1ed9ec51bb7,de2303879597a0d8,data/evaluation/seaspoof_hi/ss_hi_fake_00097.flac
